@RELATION gaze_labels

%@METADATA width_px 640
%@METADATA height_px 360
%@METADATA width_mm 475.00
%@METADATA height_mm 267.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
65,329.44,172.27,1.00,FIX,FIX
2066,329.46,172.12,1.00,FIX,FIX
4070,329.38,171.32,1.00,FIX,FIX
6067,328.94,171.34,1.00,FIX,FIX
8070,329.19,171.23,1.00,FIX,FIX
10074,329.57,170.95,1.00,FIX,FIX
12074,329.64,171.00,1.00,FIX,FIX
14075,329.89,171.06,1.00,FIX,FIX
16075,330.35,170.74,1.00,FIX,FIX
18078,330.44,171.19,1.00,FIX,FIX
20077,330.63,170.96,1.00,FIX,FIX
22076,330.46,170.94,1.00,FIX,FIX
24077,330.32,170.87,1.00,FIX,FIX
26078,330.05,170.80,1.00,FIX,FIX
28083,330.39,170.84,1.00,FIX,FIX
30092,330.08,170.74,1.00,FIX,FIX
32079,330.60,170.84,1.00,FIX,FIX
34079,330.43,170.25,1.00,FIX,FIX
36079,330.65,170.47,1.00,FIX,FIX
38086,331.09,170.51,1.00,FIX,FIX
40083,331.17,170.97,1.00,FIX,FIX
42082,331.44,170.97,1.00,FIX,FIX
44080,330.89,170.66,1.00,FIX,FIX
46082,331.40,170.64,1.00,FIX,FIX
48086,331.25,170.94,1.00,FIX,FIX
50084,331.12,171.41,1.00,FIX,FIX
52085,331.10,170.78,1.00,FIX,FIX
54082,330.94,170.98,1.00,FIX,FIX
56092,330.70,171.07,1.00,FIX,FIX
58092,331.01,171.68,1.00,FIX,FIX
60086,330.46,171.87,1.00,FIX,FIX
62088,330.19,171.45,1.00,FIX,FIX
64087,330.26,171.00,1.00,FIX,FIX
66091,330.50,170.44,1.00,FIX,FIX
68095,330.64,170.53,1.00,FIX,FIX
70095,330.67,170.81,1.00,FIX,FIX
72098,330.65,170.72,1.00,FIX,FIX
74097,330.51,171.24,1.00,FIX,FIX
76090,330.32,170.98,1.00,FIX,FIX
78097,330.19,171.25,1.00,FIX,FIX
80097,329.71,171.12,1.00,FIX,FIX
82097,329.52,170.69,1.00,FIX,FIX
84096,329.48,170.94,1.00,FIX,FIX
86099,329.48,171.28,1.00,FIX,FIX
88102,329.76,171.41,1.00,FIX,FIX
90101,330.25,171.60,1.00,FIX,FIX
92103,330.02,171.83,1.00,FIX,FIX
94103,330.02,171.43,1.00,FIX,FIX
96102,329.88,172.09,1.00,FIX,FIX
98107,329.45,171.83,1.00,FIX,FIX
100107,329.45,171.19,1.00,FIX,FIX
102106,329.33,170.50,1.00,FIX,FIX
104104,329.31,170.35,1.00,FIX,FIX
106109,329.57,171.06,1.00,FIX,FIX
108110,329.38,171.86,1.00,FIX,FIX
110108,328.89,172.29,1.00,FIX,FIX
112121,328.57,172.15,1.00,FIX,FIX
114105,328.61,172.12,1.00,FIX,FIX
116108,328.64,171.82,1.00,FIX,FIX
118113,328.74,171.81,1.00,FIX,FIX
120110,328.92,171.19,1.00,FIX,FIX
