@RELATION gaze_labels

%@METADATA width_px 640
%@METADATA height_px 360
%@METADATA width_mm 475.00
%@METADATA height_mm 267.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
938,299.09,191.66,1.00,FIX,FIX
2948,299.08,191.66,1.00,FIX,FIX
4934,299.29,191.51,1.00,FIX,FIX
6938,299.01,191.74,1.00,FIX,FIX
8939,298.61,191.82,1.00,FIX,FIX
10939,298.48,191.66,1.00,FIX,FIX
12936,298.47,191.60,1.00,FIX,FIX
14940,298.58,191.94,1.00,FIX,FIX
16942,299.03,192.10,1.00,FIX,FIX
18944,298.74,191.77,1.00,FIX,FIX
20939,298.85,191.35,1.00,FIX,FIX
22943,298.74,191.55,1.00,FIX,FIX
24939,298.63,191.41,1.00,FIX,FIX
26947,298.77,191.31,1.00,FIX,FIX
28950,298.76,191.31,1.00,FIX,FIX
30942,298.87,191.23,1.00,FIX,FIX
32962,299.04,191.46,1.00,FIX,FIX
34948,299.28,191.28,1.00,FIX,FIX
36954,299.03,191.69,1.00,FIX,FIX
38967,298.88,191.80,1.00,FIX,FIX
40951,298.83,191.52,1.00,FIX,FIX
42955,298.75,191.75,1.00,FIX,FIX
44947,298.88,191.63,1.00,FIX,FIX
46952,298.71,191.32,1.00,FIX,FIX
48956,298.58,191.40,1.00,FIX,FIX
50952,298.66,191.62,1.00,FIX,FIX
52955,298.54,191.60,1.00,FIX,FIX
54953,298.53,191.53,1.00,FIX,FIX
56957,298.07,191.65,1.00,FIX,FIX
58955,298.21,191.69,1.00,FIX,FIX
60959,298.50,191.56,1.00,FIX,FIX
62955,298.71,191.43,1.00,FIX,FIX
64962,298.94,191.27,1.00,FIX,FIX
66961,298.75,191.00,1.00,FIX,FIX
68965,298.81,191.15,1.00,FIX,FIX
70960,298.99,191.28,1.00,FIX,FIX
72961,298.92,191.50,1.00,FIX,FIX
74963,298.82,191.81,1.00,FIX,FIX
76965,298.70,192.17,1.00,FIX,FIX
78962,298.84,192.35,1.00,FIX,FIX
80976,298.57,192.25,1.00,FIX,FIX
82964,298.60,192.31,1.00,FIX,FIX
84962,298.37,192.35,1.00,FIX,FIX
86969,298.01,192.37,1.00,FIX,FIX
88972,298.06,192.57,1.00,FIX,FIX
90972,298.10,192.68,1.00,FIX,FIX
92971,298.31,192.17,1.00,FIX,FIX
94969,298.44,192.09,1.00,FIX,FIX
96970,298.22,192.17,1.00,FIX,FIX
98975,298.12,192.12,1.00,FIX,FIX
100972,298.30,192.51,1.00,FIX,FIX
102971,298.27,192.63,1.00,FIX,FIX
104973,298.54,192.35,1.00,FIX,FIX
106974,298.40,191.93,1.00,FIX,FIX
108975,298.01,191.79,1.00,FIX,FIX
110972,297.89,191.59,1.00,FIX,FIX
112973,297.92,191.76,1.00,FIX,FIX
114978,298.11,191.37,1.00,FIX,FIX
116978,297.88,191.60,1.00,FIX,FIX
118976,297.81,191.88,1.00,FIX,FIX
120981,297.90,192.28,1.00,FIX,FIX
122986,298.03,192.25,1.00,FIX,FIX
124976,298.18,192.19,1.00,FIX,FIX
126981,297.82,192.24,1.00,FIX,FIX
128985,298.22,192.31,1.00,FIX,FIX
130981,298.21,192.38,1.00,FIX,FIX
132981,297.98,192.20,1.00,FIX,FIX
134983,298.02,191.61,1.00,FIX,FIX
136986,297.93,191.79,1.00,FIX,FIX
138986,297.95,191.59,1.00,FIX,FIX
140989,297.88,191.43,1.00,FIX,FIX
142988,297.58,191.49,1.00,FIX,FIX
