gazeX,gazeY
271.33636,152.57268
271.09717,152.51953
271.33636,152.14752
271.3629,152.4664
271.01746,152.54611
271.62866,152.70554
271.2832,152.57268
271.07062,152.65239
271.15033,152.4664
270.93774,152.59926
271.23004,152.43982
271.12375,152.28038
270.83142,152.65239
271.33636,152.7587
271.09717,152.4664
271.15033,152.51953
271.15033,152.36009
270.83142,152.54611
270.85803,152.4664
271.1769,152.4664
270.80487,152.51953
271.2035,152.59926
271.01746,152.4664
271.04404,152.67897
271.15033,152.86499
270.83142,151.93494
271.07062,152.30695
270.9643,152.54611
271.41608,152.89156
271.25662,152.54611
271.12375,152.28038
271.54895,152.59926
271.07062,152.33353
271.25662,152.67897
271.46924,152.83841
271.3895,152.43982
270.99088,152.51953
271.12375,152.65239
271.57553,152.73213
271.54895,153.21043
271.2832,152.91812
271.46924,152.99786
271.3895,152.99786
271.3629,152.81184
271.30978,152.81184
271.54895,153.18385
271.4958,152.65239
271.3895,152.73213
271.8147,152.9447
271.25662,152.91812
271.44266,152.65239
271.3895,152.83841
271.54895,152.4664
271.57553,152.99786
271.07062,152.62582
271.2035,152.59926
271.4958,152.78526
271.6021,152.51953
271.3895,152.99786
271.41608,152.99786
271.30978,152.99786
271.12375,152.89156
271.41608,152.54611
271.1769,152.59926
271.52237,153.02443
271.33636,152.81184
271.41608,153.15729
271.33636,153.10414
271.52237,152.9447
271.76154,152.7587
271.2035,152.59926
271.3629,152.70554
271.33636,152.54611
271.65524,152.81184
271.4958,152.81184
271.12375,152.49297
271.07062,152.62582
271.46924,152.41324
271.65524,152.97127
271.52237,152.89156
271.46924,152.62582
271.57553,152.9447
271.62866,153.29016
271.57553,152.54611
271.78812,152.97127
271.57553,153.02443
271.8147,152.97127
271.65524,152.78526
271.1769,152.97127
271.41608,152.91812
271.68182,152.81184
271.41608,152.9447
271.15033,152.9447
271.57553,152.86499
271.3895,153.42302
271.46924,153.02443
271.4958,153.07758
271.25662,152.97127
271.735,153.237
271.735,152.99786
271.54895,153.2636
271.7084,153.15729
271.54895,152.65239
271.735,152.83841
271.84128,153.3433
271.41608,153.051
271.735,153.42302
271.62866,152.81184
271.4958,152.91812
271.3629,152.65239
271.94757,153.02443
271.735,153.10414
271.44266,153.44958
271.3629,153.02443
271.54895,153.21043
271.54895,153.42302
271.8944,152.99786
271.65524,153.31673
271.33636,153.15729
271.4958,153.07758
271.8147,153.50275
271.46924,152.89156
271.8147,153.42302
271.8147,153.15729
271.62866,152.73213
271.6021,153.31673
271.86786,152.89156
271.62866,153.13072
271.86786,152.89156
271.1769,153.13072
271.54895,153.10414
271.65524,152.9447
271.33636,153.42302
271.41608,153.44958
271.3895,152.89156
271.09717,152.86499
271.46924,153.3433
271.7084,153.42302
271.8147,153.36987
272.0539,153.71533
271.94757,153.44958
272.18677,153.31673
271.86786,153.36987
272.10703,153.36987
271.94757,153.47618
271.97415,153.15729
271.30978,152.70554
271.33636,153.44958
270.61884,152.86499
270.00766,152.78526
268.97128,152.99786
268.73212,153.02443
267.66922,152.65239
266.3937,152.57268
265.75598,152.14752
265.11823,151.90836
264.6399,152.28038
264.2413,152.12093
263.89587,151.6692
264.26788,151.85521
264.7196,152.01465
265.41052,151.56291
265.67624,151.4832
266.34058,151.43004
266.872,151.50977
267.69577,151.69577
268.5461,151.40347
268.59927,151.45662
269.3167,151.45662
269.3167,151.58948
269.3433,151.69577
269.13074,151.9615
268.6524,151.58948
268.33353,151.4832
267.96152,152.04121
267.69577,151.85521
267.29718,152.62582
267.03146,152.28038
267.13776,152.12093
267.058,151.56291
266.76572,152.17409
266.8986,152.17409
266.686,151.50977
267.1643,151.6692
267.11118,151.93494
267.35034,151.82864
267.43005,151.80208
267.8552,152.36009
267.80206,151.72234
267.82864,151.77548
267.90836,151.80208
267.96152,152.38666
267.72235,152.33353
267.00488,151.56291
267.50977,152.30695
266.9783,151.80208
267.1909,151.90836
267.50977,152.20067
267.24402,151.56291
267.21747,152.09436
267.24402,151.93494
267.27063,151.69577
267.43005,151.9615
267.50977,152.17409
267.32376,151.6692
267.53635,152.01465
267.88177,152.51953
267.64264,152.2538
267.74893,151.82864
267.96152,151.88179
267.98807,152.04121
267.58948,151.40347
267.77548,151.50977
267.82864,151.93494
267.72235,151.80208
267.5629,152.04121
267.66922,152.04121
267.3769,152.01465
267.4566,151.6692
267.72235,152.04121
267.4832,151.74892
267.27063,152.17409
267.3769,152.33353
267.35034,151.82864
267.72235,152.09436
267.43005,151.90836
267.4566,152.12093
267.72235,152.33353
267.64264,152.33353
267.4566,151.9615
267.00488,151.82864
267.4832,152.22723
267.50977,152.30695
267.3769,152.0678
267.80206,151.9615
267.72235,151.98807
267.53635,152.2538
267.58948,152.01465
267.5629,152.28038
267.3769,152.12093
267.43005,152.30695
267.74893,151.80208
267.43005,152.67897
267.69577,152.49297
267.69577,152.33353
267.058,151.93494
267.58948,152.49297
267.53635,152.2538
267.58948,152.36009
267.21747,152.2538
267.66922,152.22723
267.61606,152.43982
267.74893,152.59926
267.58948,152.30695
267.40347,152.2538
267.77548,152.54611
267.4832,152.41324
267.4832,152.28038
267.80206,152.41324
267.35034,152.30695
267.13776,152.12093
267.66922,152.01465
267.40347,152.67897
267.61606,152.41324
267.43005,152.51953
267.13776,152.38666
267.58948,152.22723
267.058,152.09436
267.0846,152.2538
267.27063,151.98807
267.40347,152.20067
267.11118,152.2538
267.50977,152.38666
267.32376,152.73213
267.29718,152.4664
267.1643,152.22723
267.66922,152.33353
267.32376,152.33353
267.32376,152.12093
267.21747,152.17409
267.58948,152.22723
267.64264,152.04121
267.1909,152.43982
267.4566,152.62582
266.8986,152.09436
267.24402,152.2538
267.4566,152.36009
267.3769,152.49297
267.11118,151.98807
266.84543,152.43982
267.21747,152.17409
267.1909,152.62582
267.1643,152.20067
266.95175,152.28038
267.058,152.67897
267.0846,152.12093
267.0846,152.38666
267.1909,152.51953
267.21747,152.4664
267.40347,152.01465
266.9783,152.51953
267.1643,152.30695
267.24402,151.88179
267.11118,152.14752
267.11118,152.20067
267.11118,152.12093
267.1909,152.12093
267.0846,152.54611
266.8986,151.98807
267.29718,152.28038
267.13776,152.20067
267.058,152.43982
266.9783,152.4664
266.7923,152.14752
266.8986,152.22723
266.55316,152.22723
267.11118,151.6692
266.3937,151.80208
267.1909,152.17409
267.1643,151.93494
266.73917,152.14752
266.84543,151.85521
266.76572,152.17409
266.8986,152.01465
266.95175,151.69577
266.76572,152.28038
266.76572,151.74892
266.76572,152.14752
266.7126,152.4664
267.0846,152.51953
266.84543,152.73213
267.24402,152.49297
266.7923,152.49297
266.8986,152.89156
266.7923,152.91812
266.8986,152.81184
266.84543,152.91812
266.76572,152.67897
266.8986,152.67897
267.27063,152.36009
266.84543,152.70554
266.84543,153.051
267.13776,152.86499
266.872,152.81184
267.35034,152.89156
266.76572,152.38666
267.29718,152.89156
266.95175,152.99786
267.1643,152.70554
266.7923,152.67897
267.0846,152.33353
267.13776,152.70554
267.058,152.86499
267.32376,152.67897
267.35034,152.62582
267.4832,152.43982
267.1909,152.20067
267.21747,152.28038
267.00488,152.12093
266.9783,152.30695
266.2874,151.98807
265.5168,151.72234
265.1448,151.69577
264.79935,151.56291
264.2413,151.27061
263.70984,150.87202
263.47067,151.13776
262.9392,151.08461
262.9392,150.9783
263.20493,151.27061
263.763,150.87202
263.89587,150.92516
264.50705,150.686
265.11823,150.76573
265.67624,150.76573
266.0217,150.95174
266.4203,151.11118
266.7923,151.4832
266.7923,151.56291
266.81888,151.40347
266.84543,151.53635
