gazeX,gazeY
1051.811,185.862
1052.974,188.4511
1049.647,189.7382
1109.07,267.333
1100.426,262.7014
1097.781,267.7224
1102.005,274.5591
1101.497,268.8159
1103.432,273.039
1104.293,265.5728
1098.628,265.3761
1099.358,268.1398
1102.167,269.9209
1101.591,265.6025
1098.973,265.9654
1101.415,266.8635
1101.942,267.9835
1100.705,270.3575
1102.531,270.594
1101.154,267.6489
1103.741,265.6417
1098.647,274.7941
1101.73,266.5096
1101.248,269.6807
1098.929,273.9237
1092.355,291.9837
1084.043,297.1378
1064.7,316.5432
1036.041,345.4637
1011.687,363.4739
1002.014,383.661
1009.601,396.938
1014.722,407.4755
1017.848,414.365
1025.854,414.3723
1021.79,399.5827
1024.268,399.9772
1018.922,393.9759
1013.925,412.5424
1013.215,412.7171
1008.958,420.4837
1013.274,413.8546
1011.394,417.4156
1013.374,420.1148
1015.13,417.8138
1018.363,415.744
1015.822,410.4603
1017.832,413.1528
1013.007,415.4378
1013.36,416.8533
1015.02,418.4645
1020.255,413.0248
1016.023,416.32
1013.719,424.9958
1013.624,423.7736
1013.245,420.5157
1013.253,415.3068
1014.348,416.648
1015.807,419.9966
1009.152,427.4594
1015.995,416.6529
1013.358,415.6298
1016.05,411.2714
1013.354,417.6516
1016.83,411.9473
1016.448,418.667
1015.12,416.2955
1014.607,416.9742
1013.364,418.1795
1016.501,417.6211
1014.92,416.8377
1012.487,421.2839
1014.896,418.0541
1012.79,414.5386
1017.109,418.542
1019.009,421.5984
1016.317,420.1702
1013.1,418.441
1017.419,423.8289
1018.883,416.7319
1018.254,414.6151
1016.856,413.4768
1014.385,418.0104
1018.971,414.7524
1019.635,420.305
1018.627,417.0783
1016.231,418.067
1020.402,416.4571
1017.485,414.977
1018.309,415.0026
1019.659,417.74
1016.897,414.0173
1019.628,413.4018
1017.463,420.1517
1019.43,416.1512
1017.906,413.4692
1015.199,417.3963
1016.766,414.4463
1019.25,416.7757
1016.188,413.7622
1018.844,408.2699
1017.782,417.9734
1018.319,409.5162
1018.553,414.5771
1011.704,417.7446
1017.815,413.7306
1016.1,413.4197
1013.973,414.0886
1019.562,416.4109
1015.358,414.2033
1018.131,413.7073
1015.63,419.2856
1015.861,420.1365
1012.566,414.9089
1018.425,413.6535
1017.84,414.5886
1015.81,415.1842
1014.441,413.9083
1012.705,421.62
1016.418,415.5351
1017.12,419.7155
1016.826,411.954
1012.705,419.6193
1015.94,413.4467
1019.476,419.322
1015.229,418.0746
1015.346,415.6652
1012.053,412.2334
1017.511,415.7562
1016.062,420.6041
1017.802,412.9931
1013.263,419.5543
1017.792,406.8312
1017.023,414.8403
1013.014,417.4433
996.3365,419.7857
973.6353,425.5781
928.8055,430.105
895.1992,445.1855
866.6155,442.0534
855.6322,432.926
854.3423,427.9487
869.3583,427.1338
867.4306,443.9834
868.5305,448.8311
866.1583,444.2968
874.7515,446.5559
867.633,440.1358
868.4346,438.1481
864.1544,433.5506
870.5175,434.2192
865.337,431.7305
868.5592,437.0479
861.2683,432.6774
862.9763,434.49
859.6299,427.8003
863.9685,430.0441
865.8216,438.0488
869.3941,427.5427
864.2857,432.5929
864.8545,431.0522
860.136,441.3197
865.866,436.2194
859.8332,426.3596
864.8849,441.888
864.4007,443.6945
863.4943,438.3931
863.2397,450.4109
861.3801,437.0642
864.5002,441.016
861.2079,440.6966
868.1681,441.1177
866.2595,436.4888
856.7495,445.0246
861.7247,448.6128
854.8076,450.8142
857.9969,454.795
863.2246,437.3393
863.7644,439.0186
863.7042,434.0308
861.7961,436.46
861.6605,449.1177
861.4159,426.2889
861.8385,432.7825
864.2086,426.3833
863.6882,431.4949
856.884,432.5908
837.8133,454.6627
806.0751,464.4763
758.0502,480.0344
707.8379,489.5926
674.0541,505.9583
660.003,520.2482
647.3045,526.4531
644.2755,542.9802
629.7951,544.7735
604.9625,539.6566
596.2779,543.1434
593.1207,530.791
608.0248,542.115
616.1518,535.4188
613.7145,533.2009
610.7244,538.8116
608.2215,544.3424
607.5592,537.5528
605.8989,537.4204
608.6875,542.6551
607.4979,537.7764
605.8807,535.8903
606.6122,537.8738
604.2746,532.4525
605.2197,544.0729
604.9287,541.173
606.2514,537.5379
604.0133,540.88
603.245,549.4381
605.5585,548.4718
605.6126,546.8218
606.2717,536.0065
597.9434,548.056
603.6094,543.5609
604.8413,543.5346
601.0357,542.0155
601.4623,543.5526
603.6096,546.6279
604.7539,545.5683
605.1972,548.9448
607.5849,539.3269
598.1324,537.8843
605.1501,552.0933
599.7281,541.5169
600.7511,534.5601
601.6112,540.193
605.8865,544.0266
604.7257,546.0135
609.3791,543.7295
605.1847,540.7641
603.0845,550.1551
602.394,541.9765
604.5146,548.5074
604.0628,550.619
596.9287,539.6953
601.5296,537.3717
603.225,541.8247
598.5225,535.8288
597.5599,545.7709
602.4794,539.1006
600.2214,543.5518
596.5163,528.2395
603.1653,552.6197
608.1518,547.7293
596.059,530.3914
600.4237,539.2216
594.7253,526.2627
594.5963,533.1057
597.1298,530.51
597.6841,550.3829
595.6215,527.7214
595.9172,531.2233
596.7591,546.7937
597.1204,536.1134
598.4679,550.8933
596.1146,554.73
594.088,549.0833
576.5887,555.7208
539.1483,551.7185
501.8552,559.5118
466.4553,554.0979
449.3621,553.1682
450.3007,548.5412
465.9983,559.3659
476.5636,560.056
481.2466,561.4614
482.9614,564.8298
477.323,561.1171
473.1396,557.2805
472.4492,558.9146
476.576,561.4924
475.6519,561.1422
469.5445,557.084
473.1039,563.3256
471.5909,559.5523
472.8789,562.8027
469.47,566.2102
474.4844,564.3423
469.8452,559.45
476.5444,563.7261
474.8438,567.0415
470.5716,556.0668
467.1591,558.5375
473.3262,565.7321
468.5337,556.2281
472.1126,561.4257
474.4248,564.4478
472.7639,565.4403
472.0355,565.1897
470.2495,560.5116
470.5716,556.0315
476.8548,565.7889
470.0504,563.1378
468.2631,557.2431
471.0873,560.4794
472.7481,562.2552
472.324,563.0958
467.1221,552.857
475.5895,562.7592
472.7141,559.315
476.0048,564.9545
472.0231,561.1483
474.0607,564.6107
473.0981,559.7913
473.7946,566.6638
471.7988,561.6695
466.6679,555.3764
470.8492,561.502
464.5398,555.3618
464.937,553.9549
475.4092,568.471
473.0709,562.1013
469.5365,570.3397
468.5892,565.7353
485.0248,577.2095
499.9549,585.98
526.51,600.2706
555.6597,611.6045
584.0532,627.9585
596.7494,632.4656
603.19,641.8459
603.5764,646.1373
588.3879,640.1996
586.5158,634.8162
587.3915,630.6766
593.6071,629.1374
591.6963,631.3908
595.7653,635.8086
595.3317,637.8636
599.0903,635.5787
590.4071,633.5883
597.4341,636.4875
600.6254,642.5141
595.691,635.7992
597.5111,635.3777
594.6423,635.6172
595.9845,638.3795
595.8137,632.952
597.9659,637.1684
597.6928,638.0099
595.236,633.5675
595.9376,637.7997
597.131,634.569
598.665,642.4224
598.6377,635.0834
601.4697,637.5385
595.1089,638.5266
597.9647,636.5269
595.7179,635.7113
601.9906,637.5439
600.1229,638.799
599.0536,637.2096
602.7519,641.9687
597.9011,640.1998
595.8597,637.3916
597.9515,637.3878
599.1269,634.3852
593.6014,637.4296
600.2141,642.0788
597.2279,635.9146
595.3764,637.2407
595.2283,634.1349
594.5499,637.9277
601.5139,644.5635
593.8072,635.0178
596.4489,639.5804
601.1282,640.2782
603.2382,635.1685
600.5873,636.2838
597.2837,638.9406
598.8488,639.5985
598.7095,638.9126
599.6992,636.3137
599.7978,637.9933
596.1209,637.0756
602.5813,636.2994
597.9517,641.577
597.9172,639.9035
600.1835,641.2673
601.8523,641.3292
596.4615,637.7234
602.4417,636.6309
596.8377,641.3849
