gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060748521.2969,56.0,1.0,317.670375,209.7135,261.646,220.813,1.0,231.0
1703060748526.7332,56.0,1.0,315.66825,208.62075000000002,259.576,219.8,1.0,231.0
1703060748530.489,56.0,1.0,318.57862500000005,222.62775,263.662,232.492,1.0,231.0
1703060748533.707,56.0,1.0,313.37850000000003,209.331375,257.371,220.396,1.0,231.0
1703060748539.873,56.0,1.0,313.315875,206.30775,257.061,217.691,1.0,231.0
1703060748546.083,56.0,1.0,307.423875,212.469375,251.708,223.115,1.0,231.0
1703060748550.2742,56.0,1.0,307.42575,208.35825,251.388,219.418,1.0,231.0
1703060748556.005,56.0,1.0,312.344625,206.312625,256.101,217.678,1.0,231.0
1703060748558.63,56.0,1.0,317.10225,211.39724999999999,261.228,222.312,1.0,231.0
1703060748564.873,56.0,1.0,316.45875,212.0445,260.647,222.883,1.0,231.0
1703060748571.306,58.0,1.0,313.79325,205.3935,262.693,223.579,1.0,239.0
1703060748574.231,58.0,1.0,312.84862499999997,210.39225000000002,261.982,227.66,1.0,239.0
1703060748580.4539,58.0,1.0,316.64962499999996,208.51012500000002,265.307,226.222,1.0,239.0
1703060748583.853,58.0,1.0,315.64162500000003,215.968125,264.614,232.328,1.0,239.0
1703060748589.9878,58.0,1.0,313.407375,214.14225000000002,262.578,230.769,1.0,239.0
1703060748596.158,58.0,1.0,312.4185,209.586375,261.577,226.984,1.0,239.0
1703060748599.155,58.0,1.0,305.604,209.964,255.456,227.103,1.0,239.0
1703060748605.7358,58.0,1.0,312.33562499999994,218.248875,261.727,234.144,1.0,239.0
1703060748608.545,58.0,1.0,317.75849999999997,209.488125,266.312,227.055,1.0,239.0
1703060748614.903,58.0,1.0,322.04850000000005,213.94125,270.204,230.811,1.0,239.0
1703060748621.119,58.0,1.0,317.56162500000005,210.80474999999998,266.175,228.128,1.0,239.0
1703060748624.15,58.0,1.0,316.512,210.652875,265.243,227.975,1.0,239.0
1703060748630.578,58.0,1.0,319.994625,216.573375,268.478,232.922,1.0,239.0
